,model,generated,image_path,number_guesses,number_guesses_generated,soft_label
0,ACGAN,0,9/2128.png,1,0,0.0
1,ACGAN,0,6/0426.png,2,1,0.5
2,ACGAN,0,7/0567.png,1,0,0.0
3,ACGAN,0,8/0958.png,2,0,0.0
4,ACGAN,0,0/4857.png,3,0,0.0
5,ACGAN,0,1/1128.png,1,0,0.0
6,ACGAN,0,0/0567.png,6,2,0.3333333333333333
7,ACGAN,0,9/0233.png,1,0,0.0
8,ACGAN,0,0/0488.png,5,0,0.0
9,ACGAN,0,6/0275.png,1,1,1.0
10,ACGAN,0,6/4679.png,1,0,0.0
11,ACGAN,0,4/2061.png,2,1,0.5
12,ACGAN,0,9/3158.png,1,0,0.0
13,ACGAN,0,3/3429.png,2,0,0.0
14,ACGAN,0,1/1641.png,3,0,0.0
15,ACGAN,0,1/4903.png,1,0,0.0
16,ACGAN,0,6/0392.png,1,0,0.0
17,ACGAN,0,2/1131.png,2,0,0.0
18,ACGAN,0,4/4917.png,1,0,0.0
19,ACGAN,0,7/3607.png,4,1,0.25
20,ACGAN,0,3/3461.png,3,0,0.0
21,ACGAN,0,8/3772.png,2,0,0.0
22,ACGAN,0,2/0307.png,2,0,0.0
23,ACGAN,0,3/0889.png,1,0,0.0
24,ACGAN,0,7/2673.png,2,1,0.5
25,ACGAN,0,6/1359.png,3,0,0.0
26,ACGAN,0,6/4827.png,1,0,0.0
27,ACGAN,0,4/0666.png,5,4,0.8
28,ACGAN,0,0/3045.png,2,2,1.0
29,ACGAN,0,1/0361.png,2,0,0.0
30,ACGAN,0,6/4591.png,3,1,0.3333333333333333
31,ACGAN,0,6/4112.png,1,1,1.0
32,ACGAN,0,1/1268.png,3,0,0.0
33,ACGAN,0,8/3742.png,4,2,0.5
34,ACGAN,0,0/4112.png,1,0,0.0
35,ACGAN,0,1/3678.png,2,0,0.0
36,ACGAN,0,9/1659.png,4,1,0.25
37,ACGAN,0,8/1548.png,2,0,0.0
38,ACGAN,0,7/4288.png,2,0,0.0
39,ACGAN,0,7/4100.png,1,0,0.0
40,ACGAN,0,0/2060.png,2,0,0.0
41,ACGAN,0,9/3146.png,3,1,0.3333333333333333
42,ACGAN,0,6/0597.png,1,0,0.0
43,ACGAN,0,7/2710.png,1,1,1.0
44,ACGAN,0,7/1177.png,1,1,1.0
45,ACGAN,0,3/4410.png,2,0,0.0
46,ACGAN,0,2/1016.png,2,0,0.0
47,ACGAN,0,1/2896.png,3,0,0.0
48,ACGAN,0,7/1128.png,1,0,0.0
49,ACGAN,0,4/3772.png,3,0,0.0
50,ACGAN,0,6/2710.png,2,0,0.0
51,ACGAN,0,7/0095.png,2,1,0.5
52,ACGAN,0,8/1815.png,4,0,0.0
53,ACGAN,0,0/0597.png,1,0,0.0
54,ACGAN,0,4/4827.png,2,0,0.0
55,ACGAN,0,8/4816.png,2,0,0.0
56,ACGAN,0,3/4818.png,1,0,0.0
57,ACGAN,0,8/2441.png,3,0,0.0
58,ACGAN,0,0/3607.png,3,1,0.3333333333333333
59,ACGAN,0,5/4619.png,2,1,0.5
60,ACGAN,0,0/3582.png,2,0,0.0
61,ACGAN,0,9/0897.png,1,0,0.0
62,ACGAN,0,9/3746.png,4,0,0.0
63,ACGAN,0,0/2441.png,2,0,0.0
64,ACGAN,0,9/4827.png,2,0,0.0
65,ACGAN,0,9/2986.png,2,1,0.5
66,ACGAN,0,4/4591.png,2,1,0.5
67,ACGAN,0,3/4100.png,2,2,1.0
68,ACGAN,0,2/0393.png,2,0,0.0
69,ACGAN,0,2/2682.png,2,0,0.0
70,ACGAN,0,8/2211.png,3,0,0.0
71,ACGAN,0,7/1609.png,1,0,0.0
72,ACGAN,0,8/4469.png,3,0,0.0
73,ACGAN,0,7/4591.png,1,0,0.0
74,ACGAN,0,3/3538.png,2,0,0.0
75,ACGAN,0,8/1156.png,2,1,0.5
76,ACGAN,0,6/3678.png,2,1,0.5
77,ACGAN,0,0/3203.png,5,2,0.4
78,ACGAN,0,1/4162.png,3,0,0.0
79,ACGAN,0,4/0989.png,3,0,0.0
80,ACGAN,0,6/2029.png,1,0,0.0
81,ACGAN,0,2/2887.png,2,1,0.5
82,ACGAN,0,7/0307.png,4,0,0.0
83,ACGAN,0,0/2715.png,2,1,0.5
84,ACGAN,0,2/0718.png,2,0,0.0
85,ACGAN,0,9/3368.png,1,0,0.0
86,ACGAN,0,9/0567.png,1,0,0.0
87,ACGAN,0,1/2710.png,2,0,0.0
88,ACGAN,0,0/2986.png,2,1,0.5
89,ACGAN,0,3/4206.png,1,1,1.0
90,ACGAN,0,1/3146.png,4,0,0.0
91,ACGAN,0,5/1893.png,3,0,0.0
92,ACGAN,0,0/2101.png,1,0,0.0
93,ACGAN,0,5/1685.png,4,0,0.0
94,ACGAN,0,0/4902.png,5,3,0.6
95,ACGAN,0,9/4469.png,1,0,0.0
96,ACGAN,0,0/3950.png,2,0,0.0
97,ACGAN,0,3/4745.png,1,0,0.0
98,ACGAN,0,8/0043.png,3,0,0.0
99,ACGAN,0,9/0806.png,3,0,0.0
100,ACGAN,0,6/2101.png,2,0,0.0
101,ACGAN,0,8/3429.png,1,0,0.0
102,ACGAN,0,1/2503.png,1,0,0.0
103,ACGAN,0,6/3607.png,2,0,0.0
104,ACGAN,0,5/0384.png,4,1,0.25
105,ACGAN,0,9/3806.png,3,0,0.0
106,ACGAN,0,2/1963.png,3,2,0.6666666666666666
107,ACGAN,0,9/0324.png,2,2,1.0
108,ACGAN,0,6/1659.png,2,1,0.5
109,ACGAN,0,3/0661.png,2,1,0.5
110,ACGAN,0,4/0392.png,3,0,0.0
111,ACGAN,0,4/0672.png,3,0,0.0
112,ACGAN,0,9/4818.png,1,0,0.0
113,ACGAN,0,3/3693.png,1,0,0.0
114,ACGAN,0,8/2128.png,5,2,0.4
115,ACGAN,0,8/3538.png,3,1,0.3333333333333333
116,ACGAN,0,9/0361.png,2,0,0.0
117,ACGAN,0,3/2919.png,2,0,0.0
118,ACGAN,0,2/2072.png,1,0,0.0
119,ACGAN,0,0/4524.png,3,1,0.3333333333333333
120,ACGAN,0,3/1685.png,3,0,0.0
121,ACGAN,0,1/3786.png,3,0,0.0
122,ACGAN,0,9/4309.png,2,0,0.0
123,ACGAN,0,2/3712.png,1,1,1.0
124,ACGAN,0,8/1674.png,2,1,0.5
125,ACGAN,0,8/2080.png,2,1,0.5
126,ACGAN,0,2/0392.png,2,1,0.5
127,ACGAN,0,4/3058.png,3,0,0.0
128,ACGAN,0,5/4673.png,3,0,0.0
129,ACGAN,0,7/2670.png,3,0,0.0
130,ACGAN,0,6/4309.png,3,1,0.3333333333333333
131,ACGAN,0,1/1208.png,2,0,0.0
132,ACGAN,0,0/1622.png,2,0,0.0
133,ACGAN,0,8/4309.png,3,0,0.0
134,ACGAN,0,0/4818.png,2,0,0.0
135,ACGAN,0,0/1816.png,3,0,0.0
136,ACGAN,0,1/0897.png,2,0,0.0
137,ACGAN,0,4/0043.png,2,1,0.5
138,ACGAN,0,9/4566.png,2,2,1.0
139,ACGAN,0,3/0091.png,1,0,0.0
140,ACGAN,0,4/4566.png,5,1,0.2
141,ACGAN,0,0/4917.png,2,0,0.0
142,ACGAN,0,6/0635.png,1,0,0.0
143,ACGAN,0,2/2101.png,1,1,1.0
144,ACGAN,0,8/4787.png,2,0,0.0
145,ACGAN,0,3/1776.png,2,0,0.0
146,ACGAN,0,9/4162.png,3,0,0.0
147,ACGAN,0,1/4309.png,3,0,0.0
148,ACGAN,0,5/3487.png,2,0,0.0
149,ACGAN,0,2/1010.png,1,0,0.0
150,ACGAN,0,6/1790.png,4,0,0.0
151,ACGAN,0,8/3595.png,2,1,0.5
152,ACGAN,0,1/0661.png,1,0,0.0
153,ACGAN,0,1/1207.png,1,0,0.0
154,ACGAN,0,1/2072.png,1,0,0.0
155,ACGAN,0,7/3772.png,3,0,0.0
156,ACGAN,0,3/2029.png,1,0,0.0
157,ACGAN,0,8/4903.png,1,0,0.0
158,ACGAN,0,5/0393.png,3,0,0.0
159,ACGAN,0,1/2041.png,2,0,0.0
160,ACGAN,0,8/2986.png,1,0,0.0
161,ACGAN,0,3/2041.png,1,1,1.0
162,ACGAN,0,5/4566.png,2,0,0.0
163,ACGAN,0,4/3595.png,1,0,0.0
164,ACGAN,0,0/4309.png,2,0,0.0
165,ACGAN,0,5/0983.png,3,0,0.0
166,ACGAN,0,6/1674.png,1,0,0.0
167,ACGAN,0,9/3164.png,2,0,0.0
168,ACGAN,0,0/1722.png,1,0,0.0
169,ACGAN,0,9/3878.png,4,0,0.0
170,ACGAN,0,2/4591.png,2,1,0.5
171,ACGAN,0,0/1423.png,2,0,0.0
172,ACGAN,0,2/0488.png,1,1,1.0
173,ACGAN,0,9/0498.png,4,0,0.0
174,ACGAN,0,0/4708.png,2,0,0.0
175,ACGAN,0,4/4469.png,2,0,0.0
176,ACGAN,0,2/1177.png,4,1,0.25
177,ACGAN,0,5/0093.png,2,0,0.0
178,ACGAN,0,7/2585.png,2,0,0.0
179,ACGAN,0,0/1208.png,1,0,0.0
180,ACGAN,0,2/3538.png,3,0,0.0
181,ACGAN,0,4/2080.png,2,0,0.0
182,ACGAN,0,0/1252.png,2,0,0.0
183,ACGAN,0,7/4566.png,2,1,0.5
184,ACGAN,0,4/3878.png,1,0,0.0
185,ACGAN,0,8/4717.png,1,1,1.0
186,ACGAN,0,1/4818.png,3,1,0.3333333333333333
187,ACGAN,0,6/2739.png,3,0,0.0
188,ACGAN,0,2/3772.png,3,0,0.0
189,ACGAN,0,4/2067.png,2,1,0.5
190,ACGAN,0,6/0389.png,4,1,0.25
191,ACGAN,0,2/3391.png,2,0,0.0
192,ACGAN,0,9/4524.png,3,1,0.3333333333333333
193,ACGAN,0,4/3746.png,3,0,0.0
194,ACGAN,0,2/4150.png,4,1,0.25
195,ACGAN,0,7/2300.png,4,1,0.25
196,ACGAN,0,3/1359.png,1,1,1.0
197,ACGAN,0,9/1016.png,4,0,0.0
198,ACGAN,0,8/4127.png,4,3,0.75
199,ACGAN,0,3/2080.png,4,2,0.5
200,ACGAN,0,6/4787.png,1,0,0.0
201,ACGAN,0,3/1622.png,3,0,0.0
202,ACGAN,0,9/2211.png,2,0,0.0
203,ACGAN,0,3/0310.png,1,1,1.0
204,ACGAN,0,5/1401.png,3,0,0.0
205,ACGAN,0,1/3424.png,1,1,1.0
206,ACGAN,0,4/1717.png,2,0,0.0
207,ACGAN,0,6/1131.png,2,0,0.0
208,ACGAN,0,0/3391.png,2,0,0.0
209,ACGAN,0,3/1401.png,3,0,0.0
210,ACGAN,0,0/0361.png,1,1,1.0
211,ACGAN,0,9/2361.png,2,0,0.0
212,ACGAN,0,9/1177.png,1,0,0.0
213,ACGAN,0,4/0958.png,1,0,0.0
214,ACGAN,0,3/3582.png,2,2,1.0
215,ACGAN,0,2/4903.png,4,2,0.5
216,ACGAN,0,6/3058.png,3,2,0.6666666666666666
217,ACGAN,0,9/1685.png,2,0,0.0
218,ACGAN,0,1/2029.png,1,1,1.0
219,ACGAN,0,6/1128.png,4,1,0.25
220,ACGAN,0,4/0627.png,1,0,0.0
221,ACGAN,0,4/4905.png,5,0,0.0
222,ACGAN,0,3/0997.png,3,1,0.3333333333333333
223,ACGAN,0,2/3628.png,1,0,0.0
224,ACGAN,0,7/3538.png,4,0,0.0
225,ACGAN,0,5/0997.png,2,0,0.0
226,ACGAN,0,1/2317.png,3,0,0.0
227,ACGAN,0,4/1622.png,2,0,0.0
228,ACGAN,0,4/1045.png,2,2,1.0
229,ACGAN,0,5/4410.png,1,1,1.0
230,ACGAN,0,2/4860.png,2,0,0.0
231,ACGAN,0,8/3693.png,3,1,0.3333333333333333
232,ACGAN,0,9/1548.png,3,1,0.3333333333333333
233,ACGAN,0,3/1223.png,3,1,0.3333333333333333
234,ACGAN,0,3/1722.png,2,1,0.5
235,ACGAN,0,6/2682.png,2,1,0.5
236,ACGAN,0,9/4603.png,3,1,0.3333333333333333
237,ACGAN,0,0/0666.png,3,1,0.3333333333333333
238,ACGAN,0,4/2503.png,2,0,0.0
239,ACGAN,0,8/1898.png,1,0,0.0
240,ACGAN,0,6/2503.png,2,0,0.0
241,ACGAN,0,8/2880.png,2,0,0.0
242,ACGAN,0,6/4619.png,1,0,0.0
243,ACGAN,0,9/3742.png,2,1,0.5
244,ACGAN,0,0/2317.png,1,0,0.0
245,ACGAN,0,5/4288.png,3,0,0.0
246,ACGAN,0,7/3693.png,2,1,0.5
247,ACGAN,0,5/2317.png,2,1,0.5
248,ACGAN,0,5/0635.png,2,0,0.0
249,ACGAN,0,4/2306.png,2,1,0.5
250,ACGAN,0,2/0058.png,3,0,0.0
251,ACGAN,0,4/1685.png,1,1,1.0
252,ACGAN,0,0/0627.png,2,0,0.0
253,ACGAN,0,2/3045.png,2,1,0.5
254,ACGAN,0,0/1207.png,4,3,0.75
255,ACGAN,0,0/2506.png,1,0,0.0
256,ACGAN,0,6/0989.png,2,1,0.5
257,ACGAN,0,3/1442.png,3,0,0.0
258,ACGAN,0,8/2710.png,3,1,0.3333333333333333
259,ACGAN,0,2/1252.png,2,0,0.0
260,ACGAN,0,6/0093.png,2,0,0.0
261,ACGAN,0,1/4557.png,3,1,0.3333333333333333
262,ACGAN,0,3/2585.png,4,0,0.0
263,ACGAN,0,0/3146.png,2,1,0.5
264,ACGAN,0,3/2343.png,3,0,0.0
265,ACGAN,0,6/1132.png,1,0,0.0
266,ACGAN,0,4/2591.png,2,1,0.5
267,ACGAN,0,6/4857.png,3,2,0.6666666666666666
268,ACGAN,0,7/3950.png,2,0,0.0
269,ACGAN,0,5/2670.png,1,0,0.0
270,ACGAN,0,2/1156.png,2,0,0.0
271,ACGAN,0,8/1252.png,2,0,0.0
272,ACGAN,0,9/2041.png,1,0,0.0
273,ACGAN,0,8/1320.png,3,0,0.0
274,ACGAN,0,8/0550.png,2,1,0.5
275,ACGAN,0,0/0307.png,3,0,0.0
276,ACGAN,0,8/4905.png,3,0,0.0
277,ACGAN,0,1/4127.png,1,0,0.0
